data,par_moeda,moeda_base,moeda_cotada,bid,ask,high,low,fonte,confiabilidade,retorno_pct,media_movel_3,media_movel_7,media_movel_14,volatilidade_7,range_pct,target_regressao_prox_dia,variacao_futura_pct,classe_recomendacao
2025-11-06,USD-BRL,USD,BRL,5.05,5.05583276,5.10029052,5.02025426,awesomeapi,market_api,0.0,5.04657323,5.0410961442857145,5.008880897142857,0.0,0.01584876435643564,5.06585748,0.31400950495049906,COMPRAR_AGORA
2025-11-07,USD-BRL,USD,BRL,5.06585748,5.07202222,5.09308205,5.05301753,awesomeapi,market_api,0.003140095049505076,5.04657323,5.0410961442857145,5.008880897142857,0.0,0.007908734139911019,5.02386221,-0.8289864088320175,AGUARDAR_QUEDA
2025-11-08,USD-BRL,USD,BRL,5.02386221,5.03084254,5.04307216,4.9881884,awesomeapi,market_api,-0.00828986408832022,5.04657323,5.0410961442857145,5.008880897142857,0.0,0.010924614908974596,5.05867172,0.6928834539034968,COMPRAR_AGORA
2025-11-09,USD-BRL,USD,BRL,5.05867172,5.06158678,5.10850518,5.02957403,awesomeapi,market_api,0.006928834539035034,5.049463803333333,5.0410961442857145,5.008880897142857,0.0,0.015603137418057212,5.10189706,0.854480037301162,COMPRAR_AGORA
2025-11-10,USD-BRL,USD,BRL,5.10189706,5.11131074,5.13151097,5.08923085,awesomeapi,market_api,0.00854480037301153,5.061476996666667,5.0410961442857145,5.008880897142857,0.0,0.008287137020361605,5.02009427,-1.6033798612157681,AGUARDAR_QUEDA
2025-11-11,USD-BRL,USD,BRL,5.02009427,5.0287957,5.056166,4.97865812,awesomeapi,market_api,-0.0160337986121577,5.060221016666667,5.0410961442857145,5.008880897142857,0.0,0.015439526795977826,4.96729027,-1.0518527573387595,AGUARDAR_QUEDA
2025-11-12,USD-BRL,USD,BRL,4.96729027,4.97296419,5.00257539,4.92333059,awesomeapi,market_api,-0.01051852757338756,5.0297605333333335,5.0410961442857145,5.008880897142857,0.009395949928749567,0.015953325795876966,4.97541996,0.16366448421786378,MONITORAR
2025-11-13,USD-BRL,USD,BRL,4.97541996,4.98261739,4.99920938,4.93909821,awesomeapi,market_api,0.001636644842178736,4.9876015,5.030441852857143,5.008880897142857,0.009483211785696645,0.01208162737683753,4.9647822,-0.21380627335023653,MONITORAR
2025-11-14,USD-BRL,USD,BRL,4.9647822,4.97226801,5.01286461,4.94012065,awesomeapi,market_api,-0.002138062733502366,4.969164143333333,5.016002527142858,5.008880897142857,0.009204292336421494,0.014651994200269325,4.96680381,0.04071900676730383,MONITORAR
2025-11-15,USD-BRL,USD,BRL,4.96680381,4.97245416,5.00900666,4.93677403,awesomeapi,market_api,0.00040719006767298005,4.96900199,5.007851327142857,5.008880897142857,0.008928668790246608,0.014543080975852002,4.93352189,-0.670087268858729,AGUARDAR_QUEDA
2025-11-16,USD-BRL,USD,BRL,4.93352189,4.9414395,4.96153283,4.91514964,awesomeapi,market_api,-0.006700872688587323,4.955035966666666,4.98997278,5.008880897142857,0.008217579563335258,0.009401638633451009,4.97311282,0.8024881794940234,COMPRAR_AGORA
2025-11-17,USD-BRL,USD,BRL,4.97311282,4.98115835,4.98827704,4.95526597,awesomeapi,market_api,0.008024881794940208,4.95781284,4.971575031428571,5.008880897142857,0.008091495500209246,0.006637908930447248,5.00872643,0.7161231061715669,COMPRAR_AGORA
2025-11-18,USD-BRL,USD,BRL,5.00872643,5.01594019,5.04868685,4.96285901,awesomeapi,market_api,0.007161231061715734,4.971787046666667,4.969951054285715,5.008880897142857,0.006806763551706774,0.01713566137011007,5.01429244,0.11112625290656769,MONITORAR
2025-11-19,USD-BRL,USD,BRL,5.01429244,5.01884983,5.02876265,4.96591267,awesomeapi,market_api,0.001111262529065682,4.998710563333334,4.97666565,5.008880897142857,0.005104495521000598,0.012534167233373448,5.06509499,1.013154908850913,COMPRAR_AGORA
2025-11-20,USD-BRL,USD,BRL,5.06509499,5.06880079,5.0832348,5.04315991,awesomeapi,market_api,0.010131549088509217,5.0293712866666676,4.989476368571429,5.009959110714286,0.006095527762726449,0.00791197205168301,5.08800862,0.45238302628554816,COMPRAR_AGORA
2025-11-21,USD-BRL,USD,BRL,5.08800862,5.09459294,5.13411923,5.04687528,awesomeapi,market_api,0.004523830262855411,5.055798683333333,5.007080142857142,5.0115413349999995,0.005747906410292742,0.017146973701471346,5.05364428,-0.6753986199024908,AGUARDAR_QUEDA
2025-11-22,USD-BRL,USD,BRL,5.05364428,5.06153927,5.07083397,5.02907618,awesomeapi,market_api,-0.006753986199024897,5.068915963333334,5.019485924285713,5.013668625714286,0.0069138596820198794,0.008262906466380757,5.07226383,0.3684380808852554,COMPRAR_AGORA
2025-11-23,USD-BRL,USD,BRL,5.07226383,5.07843986,5.08839063,5.05102405,awesomeapi,market_api,0.003684380808852472,5.071305576666667,5.039306201428571,5.014639490714286,0.005599911247724326,0.007366844717144866,5.03371208,-0.7600501727056237,AGUARDAR_QUEDA
2025-11-24,USD-BRL,USD,BRL,5.03371208,5.03855703,5.04890488,5.00148667,awesomeapi,market_api,-0.007600501727056286,5.05320673,5.047963238571429,5.009769135,0.006722169676146068,0.00942012758107532,5.07406648,0.8016827215910214,COMPRAR_AGORA
