data,bid,target_regressao_prox_dia,classe_recomendacao,pred_linear_regression,pred_random_forest,pred_gradient_boosting
2026-03-25,5.10595833,5.23523012,COMPRAR_AGORA,5.259556690117117,5.23624552032802,5.26007006293483
2026-03-26,5.23523012,5.25655049,COMPRAR_AGORA,5.341723209431372,5.206803767809184,5.276337884150666
2026-03-27,5.25655049,5.21522836,AGUARDAR_QUEDA,5.207111023768681,5.226572010900637,5.248230308217046
2026-03-28,5.21522836,5.12358432,AGUARDAR_QUEDA,5.150579885720693,5.1742250052597685,5.054471524773291
2026-03-29,5.12358432,5.13806125,MONITORAR,5.12223670967355,5.159597212823499,5.081020991522382
2026-03-30,5.13806125,5.10538318,AGUARDAR_QUEDA,5.050408672099236,5.113719938481667,5.077414879792788
2026-03-31,5.10538318,5.0901664,MONITORAR,5.134611171687997,5.05031851733594,5.085233233476443
2026-04-01,5.0901664,5.06648276,AGUARDAR_QUEDA,5.019288554745533,5.109841850705601,5.0812319630857115
2026-04-02,5.06648276,5.06320615,MONITORAR,5.096028636584336,4.906610909062791,5.075544052822696
2026-04-03,5.06320615,5.11186777,COMPRAR_AGORA,5.114269476578354,5.131010055443257,5.1543177908353295
2026-04-04,5.11186777,5.1215032,MONITORAR,5.095668752495788,5.2500192990472305,5.165146021346054
2026-04-05,5.1215032,5.11741421,MONITORAR,5.089522069267534,5.041995540633407,5.084263575884836
2026-04-06,5.11741421,5.0751799,AGUARDAR_QUEDA,5.031989615644667,5.063111427264932,5.084245792181918
2026-04-07,5.0751799,5.00572705,AGUARDAR_QUEDA,4.8658339503724335,5.005331500493764,4.97350945118657
2026-04-08,5.00572705,4.98778844,AGUARDAR_QUEDA,5.020334523088744,4.964659299297171,4.9806350525425644
2026-04-09,4.98778844,4.98825155,MONITORAR,5.007933030148657,5.04007026212795,5.000479622023843
2026-04-10,4.98825155,5.06595556,COMPRAR_AGORA,5.138177531458122,5.089578110717765,4.936424501094075
2026-04-11,5.06595556,5.07435154,MONITORAR,5.029177703303922,5.081966558627366,5.1659788135063085
2026-04-12,5.07435154,5.11952994,COMPRAR_AGORA,5.280637548165516,5.159393568058464,5.141053469741104
2026-04-13,5.11952994,5.10061833,AGUARDAR_QUEDA,5.068340774432781,5.101455865453587,5.077981605534291
2026-04-14,5.10061833,5.05205013,AGUARDAR_QUEDA,4.97766581041345,5.211043354441175,5.125290180698748
2026-04-15,5.05205013,5.0133843,AGUARDAR_QUEDA,4.928921081813374,5.020951646682837,5.000181915521525
2026-04-16,5.0133843,4.98523705,AGUARDAR_QUEDA,4.837853645725479,4.995001154924486,4.990272786661467
2026-04-17,4.98523705,5.0781718,COMPRAR_AGORA,5.208445170853416,4.992648397521336,5.05966139920489
2026-04-18,5.0781718,5.04551008,AGUARDAR_QUEDA,5.162050808215336,5.018337563634828,5.108285769822847
2026-04-19,5.04551008,5.08424526,COMPRAR_AGORA,5.135308598845205,5.141614144089991,5.080255841160377
2026-04-20,5.08424526,5.04802062,AGUARDAR_QUEDA,4.9718530713390585,4.9812477774820065,5.053701015828102
2026-04-21,5.04802062,5.09076913,COMPRAR_AGORA,5.244726882932525,4.9828912712849025,5.136512851814967
2026-04-22,5.09076913,5.11022647,COMPRAR_AGORA,5.080330341270659,5.111842243559378,5.132461769383521
2026-04-23,5.11022647,5.10623323,MONITORAR,5.083366034345734,5.174770455373749,5.104168003524905
2026-04-24,5.10623323,5.10727244,MONITORAR,5.2294394618370665,5.109391501434806,5.149467296949584
2026-04-25,5.10727244,5.08165592,AGUARDAR_QUEDA,5.1376633196808745,5.064849689868683,5.178118282718263
2026-04-26,5.08165592,5.10371851,COMPRAR_AGORA,5.29081227679414,5.010794113112951,5.115780107054378
2026-04-27,5.10371851,5.08678764,AGUARDAR_QUEDA,5.1079290321271165,5.10940034613511,5.091224523339157
2026-04-28,5.08678764,5.036593,AGUARDAR_QUEDA,5.002845382035808,5.069656755444152,5.043076829177525
2026-04-29,5.036593,4.98465329,AGUARDAR_QUEDA,4.932649874905917,4.895566665044945,5.034449611031597
2026-04-30,4.98465329,4.99470732,MONITORAR,4.837712644938796,5.051433942434861,4.971937806068749
2026-05-01,4.99470732,5.06449475,COMPRAR_AGORA,5.040814109311472,5.102779526294605,5.053918682730957
2026-05-02,5.06449475,5.07416758,MONITORAR,5.171458013800327,5.130783377127368,5.015744747933188
2026-05-03,5.07416758,5.07184145,MONITORAR,5.122742354675766,5.101017704591667,5.026854471219681
